ags,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023
8237002,1302.2201,82.843712,1436.5586,89.380142,1133.4274,92.856506,1149.8992,55.79113,1071.3221,124.51276,1264.9314,20.571005,1145.2954,39.892666,1047.0735,79.184845,1234.1877,182.67981,1363.7294,108.07881,1728.7493,134.29167,1960.2152,224.44328,1752.495,215.69106,2095.8582,199.97272,2971.9468,646.40173,2823.5662,78.663895,3244.2253,1470.7202
8237004,1449.0696,173.27824,1436.9608,150.33719,1286.9978,10.357701,1189.1937,144.82681,865.93939,21.305861,823.30865,13.293475,875.25031,57.367493,912.32532,79.45594,953.59857,61.026653,1230.876,51.958248,1643.3057,259.66803,1792.9766,86.598778,1846.2576,30.654778,1907.7374,4.7897682,2254.7227,.067409463,2578.2852,20.604864,2282.7729,404.4668
8237019,1854.2531,61.950203,2003.6211,6.9009752,1551.2233,68.175606,1856.6278,142.55121,1844.1868,241.70627,1371.4775,200.54076,1431.3405,228.38289,1274.4338,215.77934,1404.095,206.15193,1749.3235,258.58432,1915.2063,351.74011,2458.8276,485.25665,2677.6992,290.7106,2797.8462,35.256756,2460.4802,352.10583,2623.844,92.625473,2862.356,96.349884
8237024,1563.6311,211.85791,1643.1266,169.24649,1422.9911,43.158279,1869.4628,.14423524,1345.2721,58.474571,1448.1539,75.577164,1536.3805,54.365299,1167.3673,112.98714,1023.4666,70.407318,1537.4056,17.020226,1856.9012,.83246589,2157.1328,66.884659,2011.9647,207.81065,2145.2883,51.700714,2258.2222,425.3833,2814.7695,150.24808,2987.3533,495.77344
8237027,1943.8464,118.74499,2212.9763,112.35334,1695.672,130.77473,1852.5498,4.6471777,1393.9229,152.43575,1278.2344,51.172321,1223.5204,8.2878914,1407.4155,3.1968408,1797.6063,21.706079,1778.6259,258.74933,2380.3833,76.62896,2100.3103,170.34254,2247.2898,122.08027,2224.5146,52.928455,2928.8975,104.21296,2847.1396,283.121,2960.4961,372.56915
8237028,1603.9165,11.691065,1604.3448,27.392393,1433.5936,9.7699699,1424.2657,23.727179,1323.194,24.66054,1322.142,3.6556306,1275.5151,1.9367228,1456.2598,70.917397,1786.6816,55.220013,2102.6882,112.26976,2707.8899,59.601856,2669.8542,45.558025,2870.072,29.598557,2630.3765,273.06235,2833.6011,129.36804,2821.0928,12.842609,2592.5369,24.26231
8237030,1650.3483,6.5570583,1982.87,43.392464,1570.8922,29.012598,2071.8254,50.669518,1608.911,253.63791,1210.4597,61.674568,1312.1366,173.23634,1226.6541,18.933214,1312.1146,67.624588,1507.4891,230.77669,1490.8467,173.54919,1973.796,47.312374,2609.6045,317.12894,2804.7666,158.91943,2284.6768,56.80138,2566.3718,209.20044,2773.8726,105.19408
8237032,1540.984,55.42561,1517.3422,225.32562,1745.8772,152.5854,2411.3989,45.478443,1362.7516,119.3348,1176.9622,54.154369,1259.9775,17.256767,1351.696,225.18124,1351.7379,470.3157,1506.5381,171.02898,1777.014,436.52383,1235.7659,959.7644,1853.5454,70.633804,2198.5979,351.34082,2326.9861,430.35983,2915.5481,447.918,2300.2368,100.5937
8237040,1566.2119,240.91801,1786.2257,262.12848,1554.0288,18.770908,1901.5625,4.0466375,1546.7461,9.566925,1359.9299,43.69511,1149.7988,157.20605,1269.8197,121.80153,1351.4777,116.13898,1863.8824,159.77193,1840.0693,134.38426,1941.5229,71.628448,2268.1672,151.66695,2178.688,33.708427,2546.469,275.65991,3029.8003,156.94749,2777.8311,153.10432
8237045,1561.9982,80.100136,1648.0753,75.279846,1366.4276,55.656761,1707.4922,240.79214,1473.3364,153.31165,1432.9246,364.32925,1632.1083,18.212637,1387.1206,119.518,1337.9707,201.27544,1471.9088,142.76904,2434.0186,1015.4976,1801.1533,207.09288,2576.1765,85.891685,2299.5518,80.571777,3255.3906,633.18622,3180.2041,727.83179,3089.5786,77.577477
8237054,1769.0981,148.25453,1990.8781,220.7952,1641.4261,142.94159,2180.2146,273.11749,1234.2318,405.34528,1169.9438,214.0723,1444.1079,138.09349,1412.6705,248.32751,989.1908,19.451666,1362.2904,30.887674,1678.58,3.1279771,2263.4436,635.78845,2295.4138,136.90076,2087.6384,349.67395,2538.3223,29.613613,2923.1072,140.09891,2713.304,43.62867
8237061,1748.9193,313.478,2139.1587,390.19284,1540.8502,85.274155,2088.5183,126.11545,1376.9113,66.594749,1198.9481,26.582127,1169.826,98.852936,1169.6163,14.588903,1213.7,205.57561,1442.0179,262.43698,1421.3834,82.230263,1874.1714,80.482475,2421.6624,16.010767,2778.1394,1135.4412,2078.9243,27.464909,2574.5171,317.09775,2878.7793,288.9689
8237072,1660.9991,14.743075,1789.3999,66.276558,1785.4998,40.071022,2191.7339,211.8506,1347.3861,32.865089,1220.1083,36.900227,1315.6632,14.748732,1399.2166,14.573276,1208.1606,198.1642,1536.1079,97.651306,1895.4857,65.068344,1447.6975,20.318377,1996.4902,176.55138,2391.5754,16.653599,2613.8313,187.60257,3111.1853,29.298199,2969.4089,626.18512
8237073,1483.9473,54.896271,1598.054,143.80598,1284.7369,15.143568,1410.3718,61.245129,751.74786,27.938284,763.12067,105.48995,780.8924,125.67035,774.93665,84.521599,821.552,5.0712681,1118.4604,3.9747765,1486.2439,35.186981,1512.4589,203.8195,1528.6383,76.822701,1856.0154,69.862099,2043.7842,52.468601,2262.4226,108.36208,2074.4294,79.814667
8237074,1794.3407,32.147423,1975.4912,48.607643,1515.7289,197.41805,1636.1038,145.19864,1119.7771,38.920822,1063.8048,103.12362,1147.5957,88.137733,1101.9036,77.861649,959.33594,6.2452707,1370.7581,197.53174,1511.986,113.4628,1891.8796,180.2437,2488.5227,198.12782,2533.5059,661.71356,2834.2007,59.644707,2719.3396,64.947502,2753.2371,115.65598
8237075,1362.9496,100.54049,1345.7231,116.31574,1209.3641,70.821167,1228.8746,75.306625,932.82928,107.48838,875.61115,81.412811,1015.5107,127.51843,1019.2452,1.0309583,1119.3087,128.02582,1417.699,129.24426,1919.9667,97.038078,2063.4077,65.457565,2195.3855,7.6899328,2148.3123,115.5584,2647.2983,156.23186,2558.4314,18.80253,2991.8481,355.22763
