ags,price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,price_qm2022,price_qm_se2022,price_qm2023,price_qm_se2023
1058078,4.751513,.16721365,4.7008357,.05079481,4.7534194,.1407392,4.7408276,.012909846,4.5516424,.30277473,4.8050251,.10639916,4.9971666,.23949806,5.0392275,.16371349,5.4389944,.07657405,5.5898204,.056518238,5.7829704,.14042825,5.8964114,.21702647,6.4009237,.21554627,6.6313539,.1296383,7.2013845,.33460531,7.1430883,.24990663,7.9333057,.18216698
1058080,4.9059134,1.0200081,5.629529,.33285853,6.4406319,.18975244,6.401557,.1491826,6.4872751,.12796313,6.6160054,.1629658,6.7215896,.13527554,6.739737,.13986135,6.9770684,.23662955,7.5229177,.24494573,7.8262429,.82358801,8.0797625,.79181439,8.3582525,.42007825,8.6987181,.40092865,9.3882542,.7326439,10.419289,.43780729,11.131612,.70514691
1058081,5.4486713,.13933456,5.293879,.11738364,4.6242085,.015330015,4.4452982,.33350492,4.2590818,.90983474,4.119381,.68874323,4.5497794,.6317156,5.1028519,.90943623,5.1654596,.38929528,6.2471633,1.2503958,5.6875343,.24019524,6.0083294,.19979383,6.4858193,.38587403,6.5208192,1.3338127,6.4629378,.59642428,7.5848846,.48010436,8.1954536,.27105132
1058082,5.8366055,.039712332,5.6621976,.1169566,5.9733157,.15987472,6.1162291,.14055321,5.9489155,.23678657,6.1550651,.27428341,6.5152307,.29743472,6.3670592,.09615007,6.5506387,.11480956,6.8427124,.13438219,6.9208202,.0179548,7.3183455,.36234814,7.8274407,.0010439602,8.0748396,.13454585,8.6603003,.26131412,10.044055,.31522372,10.882452,.35054314
1058083,6.0857673,.032281511,5.6940498,.17224191,5.7814064,.24359497,5.881207,.055926725,5.7486901,.20021056,6.007947,.34973755,6.3534985,.1499549,6.5424938,.48177606,6.5543189,.42891058,7.1251621,.11317544,7.3124933,.3839758,7.3180041,.25363597,7.91049,.1036237,8.2002411,.38366547,8.4509764,.39532968,9.7526274,.34397012,9.9137459,.041842695
1058084,5.7860756,.046595983,5.6358914,.29668239,5.700645,.26936421,5.9080367,.24238734,5.8914819,.0028972258,6.0637536,.18623079,6.3659191,.21917549,6.700767,.68861145,6.4830508,.44183093,7.0327592,.096110113,7.2468448,.20944029,7.43257,.35104325,7.9537487,.13432033,8.2315331,.41548756,8.5087118,.53628582,9.7463036,.046663702,9.7542858,.13826817
1058085,4.9073954,.053450648,5.2073755,.095131032,4.9439845,.032439016,5.0638986,.18600555,5.1166406,.21872814,5.254961,.042003848,5.1899648,.14958686,5.4882979,.090482205,5.5532088,.015125666,5.4523964,.18508354,5.4892406,.086555876,5.8938022,.15726694,6.1038451,.15488346,6.4073639,.02037923,6.5120726,.25296605,6.9737015,.514157,7.7628312,.60784394
1058086,5.5741396,.065756366,4.8266602,.19088107,5.1763439,.41051343,5.194181,.41121283,5.0877852,.0034721291,4.409534,.029171187,5.9482231,.58285213,5.2350526,.46045107,5.5484371,.3898662,6.1061473,.30921137,6.170835,.14382738,6.4777412,.81864524,6.9568362,.17994471,6.7169576,.015899643,8.1693001,.07550741,8.508255,.40296435,9.3221092,.32009065
1058087,4.838975,.014256433,4.9994612,.094751544,5.2640023,.16414392,5.3101535,.083192579,5.0897961,.18722411,5.2923813,.17221493,5.9317513,.15993333,6.0561433,.033304553,5.9423904,.21304265,6.1225395,.081931114,6.5249276,.0748671,6.6640277,.33165061,7.0396743,.30112764,7.6573114,.026107756,8.2789774,.030542836,9.669652,.020836115,10.415001,.04555111
1058088,6.7050695,.26003698,5.9857645,.014748472,5.9510212,.053645007,6.0786982,.16467372,5.681458,.099900588,6.0150738,.080316797,6.2439842,.10306768,6.1246352,.066687696,6.4307847,.012463196,6.6503091,.19782503,6.7555695,.058230225,6.732399,.10527913,7.4385104,.19300565,8.0939388,.070625275,8.5509338,.12481755,9.2377892,.04472718,10.311348,.18038808
1058089,4.9782352,.1999488,4.7140379,.14455326,4.8577828,.36094683,4.718894,.10542102,4.4166589,.016637919,4.503684,.16362454,4.7883425,.071949773,4.4554014,.17978269,5.5339732,.0013049807,5.5986338,.056926649,5.8210316,.14165984,6.0785413,.21840163,6.7508235,.068383671,6.9015236,.23259695,7.4595885,.16567482,7.2355738,.31530076,8.2249956,.020014202
1058090,5.9846106,.46260861,5.8304863,.14174308,5.891438,.090260968,6.1151133,.026326312,6.3430104,.20142998,6.4147067,.049119484,6.7903719,.060907237,7.1074858,.5189113,6.7204428,.097204551,7.313076,.047584224,7.5050859,.039301306,7.7910094,.0050738454,8.1845598,.18827501,8.5547857,.22002959,8.9611712,.047136068,10.395086,.15315293,10.590148,.10178558
1058091,4.6646028,.64776582,4.9173756,.56094706,4.9702988,.17393424,5.1494889,.010886113,5.0454626,.14403473,5.0383883,.0062543182,5.4673266,.061743632,5.5939741,.34462056,5.462738,.56668884,6.4940143,.016350476,6.3974776,.043114908,6.5101671,.24452409,7.3609776,.68950158,7.5851536,.088516742,8.6570997,.11062973,7.4020128,.46706295,7.6048131,.31766358
1058092,5.8339291,.49730092,6.5018129,.44831121,6.8251271,.2243809,6.8805776,.1494184,7.04351,.13083217,7.1387239,.14356859,7.4359846,.082439847,7.9297881,.10080361,7.8659153,.16500452,8.2624121,.050743364,9.3253002,.14081347,9.6310568,.091521427,9.6940365,.081370711,9.9944019,.14432262,10.524629,.41571832,11.534745,.126939,11.5624,.0068156323
