county_id,pprice_qm2007,pprice_qm_se2007,pcv2007,pprice_qm2008,pprice_qm_se2008,pcv2008,pprice_qm2009,pprice_qm_se2009,pcv2009,pprice_qm2010,pprice_qm_se2010,pcv2010,pprice_qm2011,pprice_qm_se2011,pcv2011,pprice_qm2012,pprice_qm_se2012,pcv2012,pprice_qm2013,pprice_qm_se2013,pcv2013,pprice_qm2014,pprice_qm_se2014,pcv2014,pprice_qm2015,pprice_qm_se2015,pcv2015,pprice_qm2016,pprice_qm_se2016,pcv2016,pprice_qm2017,pprice_qm_se2017,pcv2017,pprice_qm2018,pprice_qm_se2018,pcv2018,pprice_qm2019,pprice_qm_se2019,pcv2019,pprice_qm2020,pprice_qm_se2020,pcv2020,pprice_qm2021,pprice_qm_se2021,pcv2021
09190,3165.1809,158.18362,.04997617,3047.7327,175.02422,.057427678,2960.3191,199.88062,.067519955,3231.2673,339.54459,.10508093,3178.1206,254.24666,.079999059,3387.1885,236.61452,.069855727,3543.3303,117.40961,.033135384,4078.3171,388.22003,.095191233,4396.5605,297.76062,.067725807,4986.2622,60.132298,.012059594,5076.8403,311.93146,.061442047,5358.5518,612.5564,.1143138,6542.4961,829.02631,.12671407,6545.3105,714.8125,.10920987,7738.7915,47.812092,.0061782375
09261,2045.295,11.842134,.0057899393,1997.8778,19.323503,.009672015,1919.3413,.21303596,.0001109943,2033.6194,40.783764,.020054767,2029.0021,15.597979,.0076875123,2319.2039,24.132725,.010405608,2595.3337,26.111898,.010061095,2711.8196,33.267139,.01226746,3129.5432,66.022247,.021096449,3285.9475,118.95033,.036199704,3707.7017,103.72758,.027976248,3987.6548,100.45853,.025192384,4209.0645,64.36821,.015292759,4417.0854,39.371761,.0089135161,4907.4585,19.767792,.0040281117
09262,1543.8198,27.683662,.017931925,1466.8784,16.505875,.011252381,1375.5927,28.001112,.020355672,1457.9053,5.3240533,.0036518513,1504.3319,36.687202,.024387704,1578.084,28.703241,.018188665,1714.0217,62.655056,.036554411,1848.3995,20.401411,.011037339,2146.0405,31.778677,.01480805,2470.4155,94.545189,.038270965,2458.5735,67.862968,.027602579,2807.0481,90.311272,.032173041,3047.9258,43.965473,.014424719,3620.5439,1.199381,.00033127095,3897.1074,141.07265,.036199324
09263,1478.3503,24.539883,.016599504,1526.8369,31.140821,.020395644,1522.7697,4.0761366,.0026767913,1451.4255,3.7785935,.0026033672,1529.2363,1.6774718,.0010969343,1677.3253,26.612619,.015866105,1707.3926,57.795933,.033850405,2091.5173,77.222038,.036921538,2832.1094,139.02724,.049089644,2448.0945,24.923958,.010180962,2707.6829,19.058239,.0070385789,3067.3467,73.543564,.023976279,3305.8811,112.0657,.03389889,3313.4026,75.374252,.022748293,3544.8599,30.21999,.0085250167
09271,1431.7914,118.20753,.082559183,1572.0354,136.11818,.08658722,1350.9365,62.311089,.046124365,1526.4556,132.13179,.086561173,1413.3269,148.39803,.10499908,1501.8875,207.45435,.13812909,1734.2679,207.28703,.11952423,1726.8527,413.60373,.23951304,2021.3025,488.23953,.24154699,2204.2834,92.958313,.042171668,2207.0896,394.16132,.17858872,2505.4648,588.41785,.23485376,2862.6858,837.41864,.29252902,3271.9053,192.0415,.058694091,2953.5615,39.753319,.013459451
09272,957.61707,4.9321461,.0051504369,941.25146,8.7363062,.0092815859,880.82159,15.433054,.017521203,975.20422,54.202583,.05558075,1038.6218,56.776649,.054665372,987.28418,63.656368,.064476237,988.08624,99.579582,.10078026,1022.1364,91.06649,.089094266,1025.3842,174.63785,.17031455,1178.7184,29.908604,.025373833,1260.9639,23.555065,.018680206,1478.6486,.77181482,.00052197312,1710.8171,20.995474,.01227219,1770.7649,126.50929,.071443304,2064.4749,393.40002,.19055694
09273,1299.8539,84.495209,.065003619,1307.7987,98.68882,.075461783,1218.7671,148.55896,.12189282,1225.651,28.739672,.023448495,1386.2913,12.787382,.0092241671,1381.6031,36.927597,.026728079,1424.4829,136.67192,.095944934,1903.1997,317.65695,.16690679,1819.2423,248.60829,.13665485,1961.2361,189.67885,.09671393,1968.6877,249.25966,.12661208,2273.3428,129.83376,.057111386,3035.7234,205.52467,.06770204,2954.3542,166.16833,.05624523,2987.0959,348.297,.11660054
09274,1952.5093,73.800682,.037797865,1857.5841,71.374542,.038423318,1710.8044,33.664951,.019677849,1864.097,73.2724,.039307181,1806.5811,26.264008,.014537962,2084.436,69.06778,.033134997,2377.6021,23.671753,.0099561457,2525.4495,90.602982,.035875984,2913.7185,142.64131,.048955075,2829.3445,243.53488,.086074665,3258.4241,.90811253,.00027869685,3637.2124,143.5937,.039479055,3824.0764,135.98077,.035559114,4219.208,200.4138,.047500338,4413.1694,297.96875,.067518085
09275,1181.7605,130.79468,.11067782,1160.1566,41.78709,.036018491,1149.2163,49.762203,.04330099,1095.7483,70.946777,.064747334,1166.2189,93.170074,.079890728,1261.2292,108.10762,.085716076,1278.0266,55.488651,.043417446,1353.7307,219.58713,.16220887,1692.4047,424.59937,.25088525,1735.3782,330.01135,.19016682,1821.2251,184.49818,.10130443,2036.4615,374.02951,.18366638,2232.8186,288.83499,.12935892,2542.6692,311.51126,.12251348,3118.4243,312.95621,.10035716
09276,1113.9784,71.831444,.064481899,1072.0543,45.483112,.042426128,982.85516,16.141525,.016423097,997.16541,68.085205,.068278745,1162.0166,1.8673207,.0016069656,1169.4413,86.57785,.074033514,1085.3241,52.89209,.048733912,1165.0137,54.971832,.04718557,1199.7437,112.95741,.094151281,1266.8314,75.224022,.059379663,1265.0175,129.52069,.10238648,1385.2399,41.74316,.030134248,1474.6871,1.9529293,.0013243008,1852.3702,198.20804,.10700238,1736.964,235.27916,.13545425
