price_qm2007,price_qm_se2007,price_qm2008,price_qm_se2008,price_qm2009,price_qm_se2009,price_qm2010,price_qm_se2010,price_qm2011,price_qm_se2011,price_qm2012,price_qm_se2012,price_qm2013,price_qm_se2013,price_qm2014,price_qm_se2014,price_qm2015,price_qm_se2015,price_qm2016,price_qm_se2016,price_qm2017,price_qm_se2017,price_qm2018,price_qm_se2018,price_qm2019,price_qm_se2019,price_qm2020,price_qm_se2020,price_qm2021,price_qm_se2021,hexagon_id
1879.4691,40.22842,1844.7065,22.915155,1678.2747,4.3096552,1915.0264,3.8783083,2050.627,7.7938099,2709.7063,31.507395,2840.1704,34.461452,3004.1506,51.750355,3540.2273,27.764122,3738.3196,6.9980984,4076.1487,6.0691705,4676.9209,10.94466,5186.7881,.546929,5360.2808,13.276239,5892.8071,16.310701,AB-17
1891.9675,30.815069,1864.8375,9.1437359,1727.3767,7.4702368,1956.4065,2.5727439,2094.228,5.3494263,2814.3789,3.1271949,2969.6382,8.2204933,3190.3486,22.122379,3655.4304,25.676004,3810.123,6.1136284,4180.3374,6.8682308,4778.7642,26.097946,5329.3276,27.442884,5518.9351,14.676314,6028.2974,29.397539,AB-18
1795.2429,.49543867,1794.6481,1.8537297,1705.1521,10.833823,1945.9404,8.0544271,2086.5498,6.9916668,2903.4009,.29286122,3090.803,.4155395,3417.6233,22.46497,3856.5906,25.141319,3847.0654,24.00074,4230.7471,19.006176,4808.7861,6.8143044,5400.1602,23.798241,5532.3931,24.721046,5999.5972,19.074841,AB-19
1770.4675,17.258455,1787.6084,17.890646,1732.0833,12.67623,1979.3551,3.7288165,2109.5249,8.8868465,3004.4448,7.2603793,3165.3496,3.0324023,3517.3923,28.505014,3988.4158,25.767954,3929.522,26.271685,4318.3047,21.327368,4889.856,10.077204,5530.6646,5.6028275,5654.1313,13.883824,6086.1802,20.835171,AB-20
1749.6274,18.242962,1791.04,11.360359,1744.8502,18.430403,1992.0382,6.6701083,2110.2673,5.9769588,3056.8103,.43106461,3240.2424,1.3110653,3573.9539,10.964723,4038.3271,4.7086258,3991.6675,20.313448,4395.6904,21.42745,4993.2783,7.1790485,5633.5679,17.847691,5734.1821,19.684723,6160.5391,13.736185,AB-21
1775.147,1.4357375,1805.5604,4.1095576,1743.8225,30.317839,2013.4675,1.1435977,2131.3894,1.458245,3145.7866,5.9267821,3315.4246,6.220264,3628.8396,2.2283754,4126.7935,2.5417299,4127.2422,10.0283,4517.624,25.9508,5104.981,30.562452,5785.0161,27.919544,5845.666,36.360928,6251.7959,40.891808,AB-22
1781.1698,22.266594,1807.6556,14.30137,1748.6605,19.27556,2039.0493,7.8021345,2156.6855,17.829332,3183.1235,8.4392729,3359.8433,17.260042,3674.8035,2.4979465,4189.5913,11.976988,4184.5078,21.685207,4608.5503,42.778622,5173.8643,65.908417,5859.4976,53.495811,5853.2925,65.569519,6226.7993,84.210976,AB-23
1776.636,27.87302,1799.2206,18.79269,1743.2891,16.684992,2033.0466,10.45457,2166.1729,16.770031,3279.9055,13.567617,3452.3708,18.383465,3765.3967,8.0407486,4307.8774,17.256475,4244.4443,31.208532,4656.8687,32.568874,5245.249,39.453445,5986.1738,35.759789,5955.147,54.480019,6284.5464,81.190842,AB-24
1801.817,26.414351,1805.2225,.42809552,1752.1354,84.093117,2063.2927,17.540627,2222.0928,42.628761,3413.5671,8.3919344,3592.4238,25.345554,3910.9243,14.950293,4474.0811,.14265665,4426.8042,29.159336,4885.3789,19.111563,5510.4819,74.030022,6295.9233,103.08163,6212.4165,57.928871,6528.1016,119.07596,AB-25
1772.8602,1.0999393,1775.2906,3.7256396,1707.5352,6.8768806,2039.9611,3.1925738,2199.7158,7.2893434,3377.2461,4.3135433,3564.4236,10.656014,3884.7998,5.3823075,4429.3218,11.306746,4362.3984,8.4567575,4827.0083,3.4697063,5437.4404,8.00459,6203.1582,22.170916,6134.1934,9.7969189,6442.3887,26.442909,AB-26
1760.1974,5.4256897,1786.5785,2.6801488,1694.0217,2.2437859,2028.3333,.13956968,2183.4324,1.3791497,3381.3857,5.7313981,3541.1011,9.5887585,3875.3955,9.7498398,4408.4048,7.8854861,4354.0547,6.2649279,4810.9624,3.643929,5418.1509,5.4565773,6182.1836,15.990335,6124.312,7.9312534,6463.0498,17.042751,AB-27
1764.6591,10.446102,1810.3018,.15738504,1733.9041,22.372934,2040.5741,2.3720455,2199.0449,6.5452647,3340.709,6.0405016,3499.1438,.30678028,3854.0317,2.8138309,4360.6646,3.7422826,4331.0186,2.4163263,4806.416,.7022419,5419.3472,11.679697,6199.3203,24.219101,6113.9277,11.321308,6466.6353,17.504639,AB-28
1776.9205,8.5427036,1814.7401,3.2770259,1736.5604,17.399734,2036.8969,2.2958751,2194.2271,5.3818297,3291.5728,5.8136616,3467.0449,1.8574451,3823.4399,1.4125619,4313.3218,7.1081533,4299.6455,6.4560561,4759.3281,8.802289,5359.1357,12.89139,6128.1689,2.1801684,6067.2783,18.133785,6430.1108,17.997753,AB-29
1762.3127,9.4995518,1767.3569,14.183174,1673.4899,4.1375885,2004.9834,6.6985359,2147.9788,9.8559475,3287.2461,13.831532,3453.7908,18.471111,3790.5242,15.61733,4286.7148,5.4726114,4277.6978,8.5294294,4721.29,3.5667481,5333.8291,10.652204,6115.5396,38.230587,6051.0625,1.6344585,6408.7188,.41702089,AB-30
1763.5925,3.5040669,1738.7974,13.354043,1621.0465,15.95376,1974.7759,6.564065,2110.5034,13.088201,3251.1899,12.333783,3411.3665,15.75857,3737.8022,14.04752,4227.6719,6.6752424,4236.729,9.0499773,4673.394,7.5850673,5290.7778,27.861389,6067.2485,39.297413,6000.6079,6.5933785,6391.6538,13.328527,AB-31
1773.4364,5.0530934,1765.495,5.8187294,1643.7621,12.211075,1968.9689,4.8419204,2114.0488,8.3457851,3207.2522,21.540634,3363.7786,11.507598,3641.0369,5.5945086,4158.3413,7.7086325,4176.0264,16.819082,4592.7573,10.399876,5211.9497,10.602448,5942.8462,11.502337,5924.3701,8.6164532,6356.0005,7.6241636,AB-32
1792.3473,1.9334255,1793.1157,9.7821503,1668.1614,6.9683681,1957.3531,3.4283137,2128.2163,.14101437,3125.4797,7.5513759,3279.5161,10.370718,3530.9385,5.8546696,4056.136,10.063016,4104.0347,19.235136,4485.6675,9.8882704,5092.7334,11.365068,5725.8867,18.028677,5846.0908,13.31957,6293.5942,22.522932,AB-33
1793.9492,8.6399317,1828.0778,.018997246,1716.9811,1.667112,1972.189,4.6302361,2112.0608,5.7722392,2987.6052,9.6281042,3151.6182,3.5747752,3396.9783,4.4806871,3910.1589,17.510109,3968.7854,7.3873367,4348.8018,4.0308337,4946.0068,3.3186021,5505.3066,10.366199,5680.7954,1.0614977,6132.2319,2.1016722,AB-34
1813.2804,1.4981321,1843.9954,7.0613079,1731.8777,4.1146703,1981.6813,9.2351084,2104.1401,1.582383,2902.689,.79921675,3057.3525,10.197924,3308.1833,12.415164,3805.0383,1.0777986,3867.2153,12.677849,4243.8882,19.171459,4840.1919,.99188751,5384.6904,3.4902842,5581.0664,5.7414961,6051.394,13.731429,AB-35
1815.8463,.93266338,1829.2166,.26917443,1728.1561,1.951367,1962.3497,3.0057006,2098.4307,1.1744006,2867.3311,5.2900119,3015.9043,2.4061158,3257.2776,3.7452164,3701.9812,5.1205053,3813.3875,1.2295156,4188.0029,2.6649361,4756.1226,1.8370942,5320.6646,11.714767,5479.1157,6.448833,5933.4849,6.9256992,AB-36
1841.085,5.7057595,1838.7426,.70757282,1736.5164,1.1911113,1961.0579,8.1249561,2098.4065,5.5666065,2775.2695,5.3867359,2933.2625,5.1056142,3187.1965,.22687908,3654.2122,2.6018631,3743.6958,6.2372193,4103.0552,11.878709,4610.5459,22.671076,5133.3799,15.704459,5381.0703,14.873753,5851.3159,20.574926,AB-37
1842.389,2.7550919,1843.2185,3.456589,1742.952,9.7832489,1947.8732,18.584291,2080.5828,12.650781,2676.4963,18.128857,2851.1201,23.530079,3116.1274,3.9876504,3538.0261,10.427689,3649.9033,19.429955,4006.8613,25.107672,4497.8101,57.436836,4982.3696,46.410503,5282.4634,20.586163,5787.2725,14.501812,AB-38
1846.1241,2.6238718,1858.8131,.41094401,1752.8087,2.1617661,1932.3142,11.650569,2081.0684,9.3389492,2615.9224,9.3333521,2777.4727,12.074294,3048.4707,9.1170883,3443.834,5.9059482,3586.6294,6.2120838,3932.4495,8.6225653,4377.9829,58.106876,4850.3403,31.718773,5242.4033,8.2239265,5787.5796,18.591396,AB-39
1826.8207,.36099362,1845.3973,.51257402,1749.2437,1.4333324,1908.2911,8.0598679,2057.8887,9.7368851,2550.199,9.1774483,2723.5635,6.9449811,2982.0549,8.8976851,3290.3052,26.439684,3492.1687,5.8586469,3840.2283,5.4289246,4277.3604,38.115231,4746.0215,19.211246,5167.8828,21.452824,5695.7036,21.697803,AB-40
1796.1533,5.0669785,1832.9047,2.8934896,1751.5829,11.907805,1894.0979,1.8201177,2033.4293,10.992781,2482.6294,16.127022,2655.5984,16.010481,2905.6602,.83541805,3157.3462,55.609184,3419.2585,11.167994,3787.9121,5.6049471,4218.3853,17.350698,4637.9233,33.230701,5055.5107,.18910174,5602.0859,33.436348,AB-41
1758.3948,14.212584,1798.1019,19.682734,1725.4807,48.878326,1836.2892,25.359962,1983.2783,26.391146,2359.2747,69.718559,2540.3337,63.2962,2742.8359,41.71909,2990.343,119.09311,3260.3945,47.571522,3632.5601,24.64838,4036.8457,83.5065,4425.4844,82.262276,4850.1367,9.3127632,5541.5449,97.588242,AB-42
1894.6714,20.942327,1875.5262,1.5539613,1789.4861,9.9197168,1825.3243,5.2104988,1944.3248,1.539902,2187.9351,8.640975,2388.7625,17.382816,2497.1614,7.2938046,2918.5352,27.288481,2968.1094,52.893639,3294.5073,66.357193,3813.8601,6.7988391,4071.4143,16.788715,4597.4985,6.6318603,5167.9731,39.403011,AB-8
1998.1973,17.123972,1965.5538,18.374201,1850.6124,17.142601,1895.1011,1.2365539,2007.552,2.1719553,2273.0642,44.608433,2383.7576,29.575018,2527.0208,25.273523,2917.5034,25.111086,3094.4363,31.646486,3378.0769,65.288338,3924.5879,34.374928,4303.999,51.462959,4824.1406,51.558609,5346.9814,10.474322,AB-9
1776.9662,1.3622729,1782.4806,12.430743,1730.8521,11.55332,1837.8231,.30425847,1923.4458,.77368528,2375.4263,11.792206,2342.5305,71.787498,2516.5669,72.682251,2825.9263,37.263554,3098.1147,105.75531,3385.0518,118.86947,4004.436,4.0076485,4409.4023,51.835468,4776.229,44.826817,5428.3765,10.842493,AC-10
1831.8561,25.975159,1824.0184,48.016998,1769.252,56.42252,1855.8265,20.452658,1972.6969,29.022427,2383.2546,5.6157064,2465.8572,26.526003,2616.9365,40.584812,2901.8401,100.60654,3218.5063,71.33297,3505.5503,13.311089,4096.4614,16.104204,4449.2671,53.247505,4872.2271,11.273259,5469.7441,103.63125,AC-11
1816.8418,2.0660183,1839.1489,22.897423,1777.4242,35.600716,1894.3032,17.659086,2021.9587,19.887568,2452.3389,8.2754536,2557.9607,21.965855,2720.7195,28.335333,3034.9795,74.083046,3375.8499,22.277573,3693.5679,1.6746192,4279.3091,14.416031,4622.2334,1.9123014,5003.458,7.4175043,5579.2861,74.234665,AC-12
1821.9553,5.1482568,1860.1134,8.3178368,1782.533,12.923379,1917.2535,8.5807724,2049.6479,9.0663309,2496.9705,6.5522871,2648.4971,10.866181,2822.2751,13.673668,3128.3354,47.702206,3425.959,14.441598,3775.9299,4.9934011,4351.2192,7.5441818,4752.3018,16.243793,5141.4683,16.785965,5699.4888,53.733364,AC-13
1854.3541,26.295635,1899.8403,62.581696,1853.8184,92.759949,1978.3654,67.032661,2079.2395,59.361523,2506.4802,52.116211,2678.7317,57.447552,2868.0742,56.903442,3171.3596,148.0434,3496.7195,32.479359,3846.0981,9.9461994,4377.3403,25.627775,4775.6763,55.360584,5189.5273,24.305624,5847.0527,131.28357,AC-14
